bin_num	chr	start	end	bin5mb	arm
1	chr1	700000	799999	1	1p
2	chr1	800000	899999	1	1p
3	chr1	900000	999999	1	1p
4	chr1	1000000	1099999	1	1p
5	chr1	1100000	1199999	1	1p
6	chr1	1200000	1299999	1	1p
7	chr1	1300000	1399999	1	1p
8	chr1	1400000	1499999	1	1p
9	chr1	1500000	1599999	1	1p
10	chr1	1600000	1699999	1	1p
11	chr1	1700000	1799999	1	1p
12	chr1	1800000	1899999	1	1p
13	chr1	1900000	1999999	1	1p
14	chr1	2000000	2099999	1	1p
15	chr1	2100000	2199999	1	1p
16	chr1	2200000	2299999	1	1p
17	chr1	2300000	2399999	1	1p
18	chr1	2400000	2499999	1	1p
19	chr1	2500000	2599999	1	1p
20	chr1	2700000	2799999	1	1p
21	chr1	2800000	2899999	1	1p
22	chr1	2900000	2999999	1	1p
23	chr1	3000000	3099999	1	1p
24	chr1	3100000	3199999	1	1p
25	chr1	3200000	3299999	1	1p
26	chr1	3300000	3399999	1	1p
27	chr1	3400000	3499999	1	1p
28	chr1	3500000	3599999	1	1p
29	chr1	3600000	3699999	1	1p
30	chr1	3700000	3799999	1	1p
31	chr1	4000000	4099999	1	1p
32	chr1	4100000	4199999	1	1p
33	chr1	4200000	4299999	1	1p
34	chr1	4300000	4399999	1	1p
35	chr1	4400000	4499999	1	1p
36	chr1	4500000	4599999	1	1p
37	chr1	4600000	4699999	1	1p
38	chr1	4700000	4799999	1	1p
39	chr1	4800000	4899999	1	1p
40	chr1	4900000	4999999	1	1p
41	chr1	5000000	5099999	1	1p
42	chr1	5100000	5199999	1	1p
43	chr1	5200000	5299999	1	1p
44	chr1	5300000	5399999	1	1p
45	chr1	5400000	5499999	1	1p
46	chr1	5500000	5599999	1	1p
47	chr1	5600000	5699999	1	1p
48	chr1	5700000	5799999	1	1p
49	chr1	5800000	5899999	1	1p
50	chr1	5900000	5999999	1	1p
51	chr1	6000000	6099999	2	1p
52	chr1	6100000	6199999	2	1p
53	chr1	6200000	6299999	2	1p
54	chr1	6300000	6399999	2	1p
55	chr1	6400000	6499999	2	1p
56	chr1	6500000	6599999	2	1p
57	chr1	6600000	6699999	2	1p
58	chr1	6700000	6799999	2	1p
59	chr1	6800000	6899999	2	1p
60	chr1	6900000	6999999	2	1p
61	chr1	7000000	7099999	2	1p
62	chr1	7100000	7199999	2	1p
63	chr1	7200000	7299999	2	1p
64	chr1	7300000	7399999	2	1p
65	chr1	7400000	7499999	2	1p
66	chr1	7500000	7599999	2	1p
67	chr1	7600000	7699999	2	1p
68	chr1	7700000	7799999	2	1p
69	chr1	7800000	7899999	2	1p
70	chr1	7900000	7999999	2	1p
71	chr1	8000000	8099999	2	1p
72	chr1	8100000	8199999	2	1p
73	chr1	8200000	8299999	2	1p
74	chr1	8300000	8399999	2	1p
75	chr1	8400000	8499999	2	1p
76	chr1	8500000	8599999	2	1p
77	chr1	8600000	8699999	2	1p
78	chr1	8700000	8799999	2	1p
79	chr1	8800000	8899999	2	1p
80	chr1	8900000	8999999	2	1p
81	chr1	9000000	9099999	2	1p
82	chr1	9100000	9199999	2	1p
83	chr1	9200000	9299999	2	1p
84	chr1	9300000	9399999	2	1p
85	chr1	9400000	9499999	2	1p
86	chr1	9500000	9599999	2	1p
87	chr1	9600000	9699999	2	1p
88	chr1	9700000	9799999	2	1p
89	chr1	9800000	9899999	2	1p
90	chr1	9900000	9999999	2	1p
91	chr1	10000000	10099999	2	1p
92	chr1	10100000	10199999	2	1p
93	chr1	10200000	10299999	2	1p
94	chr1	10300000	10399999	2	1p
95	chr1	10400000	10499999	2	1p
96	chr1	10500000	10599999	2	1p
97	chr1	10600000	10699999	2	1p
98	chr1	10700000	10799999	2	1p
99	chr1	10800000	10899999	2	1p
100	chr1	10900000	10999999	2	1p
101	chr1	11000000	11099999	3	1p
102	chr1	11100000	11199999	3	1p
103	chr1	11200000	11299999	3	1p
104	chr1	11300000	11399999	3	1p
105	chr1	11400000	11499999	3	1p
106	chr1	11500000	11599999	3	1p
107	chr1	11600000	11699999	3	1p
108	chr1	11700000	11799999	3	1p
109	chr1	11800000	11899999	3	1p
110	chr1	11900000	11999999	3	1p
111	chr1	12000000	12099999	3	1p
112	chr1	12100000	12199999	3	1p
113	chr1	12200000	12299999	3	1p
114	chr1	12300000	12399999	3	1p
115	chr1	12400000	12499999	3	1p
116	chr1	12500000	12599999	3	1p
117	chr1	12600000	12699999	3	1p
118	chr1	12700000	12799999	3	1p
119	chr1	12800000	12899999	3	1p
120	chr1	12900000	12999999	3	1p
121	chr1	13700000	13799999	3	1p
122	chr1	13800000	13899999	3	1p
123	chr1	13900000	13999999	3	1p
124	chr1	14000000	14099999	3	1p
125	chr1	14100000	14199999	3	1p
126	chr1	14200000	14299999	3	1p
127	chr1	14300000	14399999	3	1p
128	chr1	14400000	14499999	3	1p
129	chr1	14500000	14599999	3	1p
130	chr1	14600000	14699999	3	1p
131	chr1	14700000	14799999	3	1p
132	chr1	14800000	14899999	3	1p
133	chr1	14900000	14999999	3	1p
134	chr1	15000000	15099999	3	1p
135	chr1	15100000	15199999	3	1p
136	chr1	15200000	15299999	3	1p
137	chr1	15300000	15399999	3	1p
138	chr1	15400000	15499999	3	1p
139	chr1	15500000	15599999	3	1p
140	chr1	15600000	15699999	3	1p
141	chr1	15700000	15799999	3	1p
142	chr1	15800000	15899999	3	1p
143	chr1	15900000	15999999	3	1p
144	chr1	16000000	16099999	3	1p
145	chr1	16100000	16199999	3	1p
146	chr1	16200000	16299999	3	1p
147	chr1	16300000	16399999	3	1p
148	chr1	16400000	16499999	3	1p
149	chr1	16500000	16599999	3	1p
150	chr1	16600000	16699999	3	1p
151	chr1	16700000	16799999	4	1p
152	chr1	16800000	16899999	4	1p
153	chr1	16900000	16999999	4	1p
154	chr1	17000000	17099999	4	1p
155	chr1	17200000	17299999	4	1p
156	chr1	17300000	17399999	4	1p
157	chr1	17400000	17499999	4	1p
158	chr1	17500000	17599999	4	1p
159	chr1	17600000	17699999	4	1p
160	chr1	17700000	17799999	4	1p
161	chr1	17800000	17899999	4	1p
162	chr1	17900000	17999999	4	1p
163	chr1	18000000	18099999	4	1p
164	chr1	18100000	18199999	4	1p
165	chr1	18200000	18299999	4	1p
166	chr1	18300000	18399999	4	1p
167	chr1	18400000	18499999	4	1p
168	chr1	18500000	18599999	4	1p
169	chr1	18600000	18699999	4	1p
170	chr1	18700000	18799999	4	1p
171	chr1	18800000	18899999	4	1p
172	chr1	18900000	18999999	4	1p
173	chr1	19000000	19099999	4	1p
174	chr1	19100000	19199999	4	1p
175	chr1	19200000	19299999	4	1p
176	chr1	19300000	19399999	4	1p
177	chr1	19400000	19499999	4	1p
178	chr1	19500000	19599999	4	1p
179	chr1	19600000	19699999	4	1p
180	chr1	19700000	19799999	4	1p
181	chr1	19800000	19899999	4	1p
182	chr1	19900000	19999999	4	1p
183	chr1	20000000	20099999	4	1p
184	chr1	20100000	20199999	4	1p
185	chr1	20200000	20299999	4	1p
186	chr1	20300000	20399999	4	1p
187	chr1	20400000	20499999	4	1p
188	chr1	20500000	20599999	4	1p
189	chr1	20600000	20699999	4	1p
190	chr1	20700000	20799999	4	1p
191	chr1	20800000	20899999	4	1p
192	chr1	20900000	20999999	4	1p
193	chr1	21000000	21099999	4	1p
194	chr1	21100000	21199999	4	1p
195	chr1	21200000	21299999	4	1p
196	chr1	21300000	21399999	4	1p
197	chr1	21400000	21499999	4	1p
198	chr1	21500000	21599999	4	1p
199	chr1	21600000	21699999	4	1p
200	chr1	21700000	21799999	4	1p
201	chr1	21800000	21899999	5	1p
202	chr1	21900000	21999999	5	1p
203	chr1	22000000	22099999	5	1p
204	chr1	22100000	22199999	5	1p
205	chr1	22200000	22299999	5	1p
206	chr1	22300000	22399999	5	1p
207	chr1	22400000	22499999	5	1p
208	chr1	22500000	22599999	5	1p
209	chr1	22600000	22699999	5	1p
210	chr1	22700000	22799999	5	1p
211	chr1	22800000	22899999	5	1p
212	chr1	22900000	22999999	5	1p
213	chr1	23000000	23099999	5	1p
214	chr1	23100000	23199999	5	1p
215	chr1	23200000	23299999	5	1p
216	chr1	23300000	23399999	5	1p
217	chr1	23400000	23499999	5	1p
218	chr1	23500000	23599999	5	1p
219	chr1	23600000	23699999	5	1p
220	chr1	23700000	23799999	5	1p
221	chr1	23800000	23899999	5	1p
222	chr1	23900000	23999999	5	1p
223	chr1	24000000	24099999	5	1p
224	chr1	24100000	24199999	5	1p
225	chr1	24200000	24299999	5	1p
226	chr1	24300000	24399999	5	1p
227	chr1	24400000	24499999	5	1p
228	chr1	24500000	24599999	5	1p
229	chr1	24600000	24699999	5	1p
230	chr1	24700000	24799999	5	1p
231	chr1	24800000	24899999	5	1p
232	chr1	24900000	24999999	5	1p
233	chr1	25000000	25099999	5	1p
234	chr1	25100000	25199999	5	1p
235	chr1	25200000	25299999	5	1p
236	chr1	25300000	25399999	5	1p
237	chr1	25400000	25499999	5	1p
238	chr1	25500000	25599999	5	1p
239	chr1	25600000	25699999	5	1p
240	chr1	25700000	25799999	5	1p
241	chr1	25800000	25899999	5	1p
242	chr1	25900000	25999999	5	1p
243	chr1	26000000	26099999	5	1p
244	chr1	26100000	26199999	5	1p
245	chr1	26200000	26299999	5	1p
246	chr1	26300000	26399999	5	1p
247	chr1	26400000	26499999	5	1p
248	chr1	26500000	26599999	5	1p
249	chr1	26600000	26699999	5	1p
250	chr1	26700000	26799999	5	1p
251	chr1	26800000	26899999	6	1p
252	chr1	26900000	26999999	6	1p
253	chr1	27000000	27099999	6	1p
254	chr1	27100000	27199999	6	1p
255	chr1	27200000	27299999	6	1p
256	chr1	27300000	27399999	6	1p
257	chr1	27400000	27499999	6	1p
258	chr1	27500000	27599999	6	1p
259	chr1	27600000	27699999	6	1p
260	chr1	27700000	27799999	6	1p
261	chr1	27800000	27899999	6	1p
262	chr1	27900000	27999999	6	1p
263	chr1	28000000	28099999	6	1p
264	chr1	28100000	28199999	6	1p
265	chr1	28200000	28299999	6	1p
266	chr1	28300000	28399999	6	1p
267	chr1	28400000	28499999	6	1p
268	chr1	28500000	28599999	6	1p
269	chr1	28600000	28699999	6	1p
270	chr1	28700000	28799999	6	1p
271	chr1	28800000	28899999	6	1p
272	chr1	28900000	28999999	6	1p
273	chr1	29000000	29099999	6	1p
274	chr1	29100000	29199999	6	1p
275	chr1	29200000	29299999	6	1p
276	chr1	29300000	29399999	6	1p
277	chr1	29400000	29499999	6	1p
278	chr1	29500000	29599999	6	1p
279	chr1	29600000	29699999	6	1p
280	chr1	29700000	29799999	6	1p
281	chr1	30100000	30199999	6	1p
282	chr1	30200000	30299999	6	1p
283	chr1	30300000	30399999	6	1p
284	chr1	30400000	30499999	6	1p
285	chr1	30500000	30599999	6	1p
286	chr1	30600000	30699999	6	1p
287	chr1	30700000	30799999	6	1p
288	chr1	30800000	30899999	6	1p
289	chr1	30900000	30999999	6	1p
290	chr1	31000000	31099999	6	1p
291	chr1	31100000	31199999	6	1p
292	chr1	31200000	31299999	6	1p
293	chr1	31300000	31399999	6	1p
294	chr1	31400000	31499999	6	1p
295	chr1	31500000	31599999	6	1p
296	chr1	31600000	31699999	6	1p
297	chr1	31700000	31799999	6	1p
298	chr1	31800000	31899999	6	1p
299	chr1	31900000	31999999	6	1p
300	chr1	32000000	32099999	6	1p
301	chr1	32100000	32199999	7	1p
302	chr1	32200000	32299999	7	1p
303	chr1	32300000	32399999	7	1p
304	chr1	32400000	32499999	7	1p
305	chr1	32500000	32599999	7	1p
306	chr1	32600000	32699999	7	1p
307	chr1	32700000	32799999	7	1p
308	chr1	32800000	32899999	7	1p
309	chr1	32900000	32999999	7	1p
310	chr1	33000000	33099999	7	1p
311	chr1	33100000	33199999	7	1p
312	chr1	33200000	33299999	7	1p
313	chr1	33300000	33399999	7	1p
314	chr1	33400000	33499999	7	1p
315	chr1	33500000	33599999	7	1p
316	chr1	33600000	33699999	7	1p
317	chr1	33700000	33799999	7	1p
318	chr1	33800000	33899999	7	1p
319	chr1	33900000	33999999	7	1p
320	chr1	34000000	34099999	7	1p
321	chr1	34100000	34199999	7	1p
322	chr1	34200000	34299999	7	1p
323	chr1	34300000	34399999	7	1p
324	chr1	34400000	34499999	7	1p
325	chr1	34500000	34599999	7	1p
326	chr1	34600000	34699999	7	1p
327	chr1	34700000	34799999	7	1p
328	chr1	34800000	34899999	7	1p
329	chr1	34900000	34999999	7	1p
330	chr1	35000000	35099999	7	1p
331	chr1	35100000	35199999	7	1p
332	chr1	35200000	35299999	7	1p
333	chr1	35300000	35399999	7	1p
334	chr1	35400000	35499999	7	1p
335	chr1	35500000	35599999	7	1p
336	chr1	35600000	35699999	7	1p
337	chr1	35700000	35799999	7	1p
338	chr1	35800000	35899999	7	1p
339	chr1	35900000	35999999	7	1p
340	chr1	36000000	36099999	7	1p
341	chr1	36100000	36199999	7	1p
342	chr1	36200000	36299999	7	1p
